id,campus,capa,intermediacion_norm,es_articulacion,participacion_corte,daño_cascada,indice_compuesto
HOS-2A-A11,Campus Hospitalidad,acceso,0.0,false,1,0.006,0.0477
MICRORED-1A-A109,Campus Balzay,acceso,0.0,false,1,0.006,0.0477
VLIR-0A-A107,Campus Balzay,acceso,0.0,false,1,0.006,0.0477
PE1-BALZAY,Campus Balzay,wan,0.013,false,0,0.006,0.0259
AETUC-0A-A97,Campus Central,acceso,0.0,false,0,0.006,0.0227
AETUCCF-2A-A79,Campus Central,acceso,0.0,false,0,0.006,0.0227
AGRPRI-1A-A19,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
ANF-0A-A14,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
ARQ-0A-A84,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-0B-A87,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-0D-A89,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-0D-A90,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-0G-A93-CEPAUC,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-1C-A86,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-1C-A96,Campus Central,acceso,0.0,false,0,0.006,0.0227
ARQ-1E-A92,Campus Central,acceso,0.0,false,0,0.006,0.0227
ART-0A-A15,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
BIB-2A-A16,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
BLOQUED-0A-A21,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
CC-BLOQUE-IQ,Campus Central,agregacion,0.0,false,0,0.006,0.0227
CCADM-2A-A43,Campus Central,acceso,0.0,false,0,0.006,0.0227
CCADM-2A-A44,Campus Central,acceso,0.0,false,0,0.006,0.0227
CCADM-2A-A45,Campus Central,acceso,0.0,false,0,0.006,0.0227
CCBIB-1A-A71,Campus Central,acceso,0.0,false,0,0.006,0.0227
CEN-1A-A20,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
CENDIA-0A-A19,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
CMED-0A-A42,Campus Central,acceso,0.0,false,0,0.006,0.0227
CREDU-0B-A94,Campus Central,acceso,0.0,false,0,0.006,0.0227
DAN-1A-A11,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
ECOK1-1A-A101,Campus Central,acceso,0.0,false,0,0.006,0.0227
ECOK1-1A-A102,Campus Central,acceso,0.0,false,0,0.006,0.0227
ECOK2-1A-A52,Campus Central,acceso,0.0,false,0,0.006,0.0227
ECOK3-0A-A63,Campus Central,acceso,0.0,false,0,0.006,0.0227
ENF-2B-A122,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ENF-3A-A21,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
FILOA-0B-A56,Campus Central,acceso,0.0,false,0,0.006,0.0227
FILOA-2A-A55,Campus Central,acceso,0.0,false,0,0.006,0.0227
FILOB-1B-A58,Campus Central,acceso,0.0,false,0,0.006,0.0227
FILOB-2A-A57,Campus Central,acceso,0.0,false,0,0.006,0.0227
INV-1A-A161,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
INV-1A-A61,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
INV-1B-A162,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
JUR-0A-A59,Campus Central,acceso,0.0,false,0,0.006,0.0227
JUR-0A-A60,Campus Central,acceso,0.0,false,0,0.006,0.0227
JUR-1A-A61,Campus Central,acceso,0.0,false,0,0.006,0.0227
JUR-1A-A62,Campus Central,acceso,0.0,false,0,0.006,0.0227
LAB-1A-A18,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
LABMAC-1A-A13,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
LAC-0A-A17,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
MEDADM-0F-A16,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-0G-A17,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1A-A11,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1B-A12,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1C-A13,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1D-A14,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1E-A15,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MEDADM-1H-A18,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
MON-0A-A103,Campus Central,acceso,0.0,false,0,0.006,0.0227
MON-0A-A104,Campus Central,acceso,0.0,false,0,0.006,0.0227
MON-1B-A68,Campus Central,acceso,0.0,false,0,0.006,0.0227
MON-1C-A105,Campus Central,acceso,0.0,false,0,0.006,0.0227
MON-1C-A106,Campus Central,acceso,0.0,false,0,0.006,0.0227
ODO-0B-A152,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ODO-0C-A153,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ODO-0C-A154,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ODO-0C-A54,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ODO-1A-A151,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
ODO-1A-A51,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POS-0A-A131,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POS-0A-A31,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POS-1B-A32,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POS-2C-A133,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POSLAB-0D-A34,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
POST-2A-A66,Campus Central,acceso,0.0,false,0,0.006,0.0227
PRO-3A-A74,Campus Central,acceso,0.0,false,0,0.006,0.0227
PSIC-1A-A53,Campus Central,acceso,0.0,false,0,0.006,0.0227
PSIC-2B-A54,Campus Central,acceso,0.0,false,0,0.006,0.0227
QUI-0A-A78,Campus Central,acceso,0.0,false,0,0.006,0.0227
QUI-1A-A83,Campus Central,acceso,0.0,false,0,0.006,0.0227
QUI-2A-A81,Campus Central,acceso,0.0,false,0,0.006,0.0227
QUIN-1A-A128,Campus Balzay,acceso,0.0,false,0,0.006,0.0227
TALL-0A-A12,Campus Yanuncay,acceso,0.0,false,0,0.006,0.0227
TEAT-0A-A75,Campus Central,acceso,0.0,false,0,0.006,0.0227
TECMED-0B-A42,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
TECMED-1A-A141,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
TECMED-2C-A43,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
TECMED-3D-A44,Campus Paraiso,acceso,0.0,false,0,0.006,0.0227
TECQUI-0A-A11,Campus Central,acceso,0.0,false,0,0.006,0.0227
TECQUI-0A-A12,Campus Central,acceso,0.0,false,0,0.006,0.0227
VIN-0A-A72,Campus Central,acceso,0.0,false,0,0.006,0.0227
